business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month
babys eatery and palabok,,4609 mission street,2018-01-08,,211.0,no,"4609 mission street, San Francisco, CA, 94112",824,babys eatery and palabok,Mission Terrace,74.0,2018.0,37.724579,-122.434879,Census Tract 255,6075025500,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Mission_Terrace,4562.0,97250.0,32731.0,751.0,35154.0,4111.0,27.5,1496.0,979.0,1130.0,190.0,0.0,234.0,379.0,32.0,503.0,87.0,179.0,471.0,567.0,840.0,409.0,225.0,265.0,3202.0,683.0,306.0,76732.0,105661.0,113588.0,47.0,69.2,8.1,6.3,4111.0,35.7,23.4,27.0,4.5,9.4,0.0,5.6,9.0,0.8,12.0,2.1,4.3,11.2,13.5,20.0,9.8,5.4,6.3,76.4,16.3,7.3,5.3,2.2,7.5,9.9,12.9,8.6,11.1,16.4,15.0,11.2,8471.0,40.0,4291.0,38.6,4180.0,41.5,1769.0,2586.0,2469.0,117.0,2469.0,1526.0,943.0,50.7,49.3,71.6,95.5,4.5,100.0,61.8,38.2,2018,,1,
sushi shoh,,406 dewey blvd,2018-04-26,,103.0,no,"406 dewey blvd, San Francisco, CA, 94116",96577,sushi shoh,Forest Hill,92.0,2018.0,37.7474148,-122.4595907,Census Tract 304,6075030400,"http://en.wikipedia.org/wiki/Forest_Hill,_San_Francisco,_California",2557.0,150665.0,53617.0,372.0,56250.0,2310.0,34.9,1460.0,359.0,434.0,90.0,0.0,77.0,128.0,78.0,137.0,70.0,100.0,310.0,526.0,520.0,309.0,62.0,72.0,1972.0,189.0,216.0,126818.0,144107.0,129705.0,7.0,61.0,6.6,5.0,2310.0,61.1,15.0,18.2,3.8,1.9,0.0,3.2,5.4,3.3,5.7,2.9,4.2,13.0,22.0,21.8,12.9,2.6,3.0,82.5,7.9,9.0,1.1,1.7,3.4,7.3,7.8,12.2,10.4,17.3,12.5,26.4,5106.0,45.1,2507.0,43.9,2599.0,46.3,1342.0,2004.0,1933.0,71.0,1933.0,1443.0,490.0,49.1,50.9,69.4,96.5,3.5,100.0,74.7,25.3,2018,,4,
peaches patties llc,,2948 folsom st,2018-06-01,,67.0,no,"2948 folsom st, San Francisco, CA, 9411",89512,peaches patties,Mission,100.0,2018.0,37.7501803,-122.4140972,Census Tract 229.01,6075022901,http://www.sfgate.com/neighborhoods/sf/mission/,2768.0,60648.0,29470.0,742.0,31537.0,2380.0,27.4,912.0,590.0,521.0,163.0,12.0,151.0,185.0,75.0,246.0,19.0,224.0,165.0,255.0,378.0,557.0,141.0,29.0,1899.0,252.0,286.0,50493.0,75614.0,80572.0,59.0,77.1,12.0,14.4,2380.0,37.4,24.2,21.4,6.7,10.3,0.5,6.2,7.6,3.1,10.1,0.8,9.2,6.8,10.5,15.5,22.9,5.8,1.2,77.9,10.3,11.7,5.9,3.1,14.8,10.7,15.0,21.9,7.0,6.9,8.5,6.3,4640.0,31.6,2464.0,31.1,2176.0,32.4,786.0,1500.0,1410.0,90.0,1410.0,276.0,1134.0,53.1,46.9,55.7,94.0,6.0,100.0,19.6,80.4,2018,,6,
peaches patties llc,,331 cortland ave,2018-06-01,,67.0,no,"331 cortland ave, San Francisco, CA, 9411",89511,peaches patties,Bernal Heights,100.0,2018.0,37.7393606,-122.4180022,Census Tract 252,6075025200,http://www.sfgate.com/neighborhoods/sf/bernalheights/,3511.0,132248.0,52509.0,1011.0,46433.0,3304.0,27.4,1860.0,759.0,510.0,185.0,0.0,51.0,160.0,60.0,230.0,126.0,177.0,123.0,748.0,682.0,688.0,226.0,126.0,2590.0,556.0,251.0,98815.0,129965.0,134279.0,45.0,74.8,3.2,3.3,3304.0,54.8,22.3,15.0,5.4,2.4,0.0,1.5,4.7,1.8,6.8,3.7,5.2,3.6,22.0,20.1,20.3,6.7,3.7,76.2,16.4,7.4,1.6,2.2,4.1,7.1,9.8,13.5,13.0,20.6,9.5,18.6,5369.0,40.0,2673.0,40.0,2696.0,39.9,1078.0,2257.0,2125.0,132.0,2125.0,1258.0,867.0,49.8,50.2,50.7,94.2,5.8,100.0,59.2,40.8,2018,,6,
toppu ramen  dim sum house,"Restaurant 1,000 - 2,000 Sqft",941 kearny st,2018-01-17,,202.0,no,"941 kearny st, San Francisco, CA, 94133",95363,toppu ramen  dim sum house,Chinatown,94.0,2018.0,37.7966798,-122.4054378,Census Tract 611,6075061100,http://www.sfgate.com/neighborhoods/sf/chinatown/,1988.0,31141.0,13235.0,1095.0,11069.0,1658.0,23.7,231.0,788.0,345.0,115.0,0.0,82.0,153.0,28.0,266.0,32.0,39.0,22.0,105.0,204.0,336.0,337.0,54.0,1423.0,187.0,48.0,14270.0,25319.0,31210.0,141.0,50.6,16.6,40.3,1658.0,13.9,47.5,20.8,6.9,10.8,0.0,4.9,9.2,1.7,16.0,1.9,2.4,1.3,6.3,12.3,20.3,20.3,3.3,85.8,11.3,2.9,21.9,31.1,21.4,7.9,7.4,6.2,0.9,0.4,2.1,0.8,4307.0,55.2,2077.0,54.0,2230.0,55.8,1126.0,2351.0,2135.0,216.0,2135.0,78.0,2057.0,48.2,51.8,52.7,90.8,9.2,100.0,3.7,96.3,2018,,1,
poke bar,,555 california st concours,2018-01-01,,218.0,no,"555 california st concours, San Francisco, CA, 94104",94503,poke bar,Financial District,86.0,2018.0,37.792062,-122.4037148,Census Tract 117,6075011700,http://sanfrancisco.about.com/od/neighborhoodprofiles/ig/sfmaps/financial-district.htm,733.0,55747.0,27841.0,737.0,30855.0,685.0,19.1,234.0,180.0,139.0,0.0,0.0,13.0,56.0,0.0,114.0,71.0,47.0,57.0,102.0,126.0,55.0,54.0,0.0,578.0,58.0,59.0,23165.0,41735.0,56874.0,84.0,54.3,5.2,26.6,685.0,33.7,25.9,20.0,0.0,20.4,0.0,1.9,8.1,0.0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0.0,83.2,8.3,8.5,18.3,18.8,16.6,17.0,3.4,10.0,1.6,6.5,4.8,2.9,1783.0,43.6,988.0,44.3,795.0,42.4,292.0,1416.0,1012.0,404.0,1012.0,87.0,925.0,55.4,44.6,28.9,71.5,28.5,100.0,8.6,91.4,2018,,1,
academy of arts univ,"Restaurant Greater Than 2,000 Sqft",860 sutter st,2002-11-18,,5741.0,no,"860 sutter st, San Francisco, CA, 94102",2920,academy of arts univ i house cafe,Lower Nob Hill,98.0,2018.0,37.788498,-122.414514,Census Tract 121,6075012100,"http://en.wikipedia.org/wiki/Nob_Hill,_San_Francisco",2020.0,44528.0,29366.0,1672.0,31191.0,1771.0,28.1,1019.0,321.0,423.0,40.0,0.0,31.0,21.0,21.0,203.0,61.0,83.0,120.0,526.0,314.0,307.0,91.0,25.0,1536.0,84.0,183.0,28966.0,42523.0,51950.0,18.0,68.7,10.7,5.1,1771.0,56.5,17.8,23.5,2.2,0.0,0.0,1.7,1.2,1.2,11.3,3.4,4.6,6.7,29.2,17.4,17.0,5.0,1.4,85.2,4.7,10.1,19.7,4.0,20.2,10.5,11.5,17.4,9.4,4.1,1.9,1.3,3833.0,28.6,1879.0,31.2,1954.0,27.0,311.0,2406.0,2194.0,212.0,2194.0,99.0,2095.0,49.0,51.0,14.2,91.2,8.8,100.0,4.5,95.5,2002,,11,
the cheese school,,900 north point st k201,2014-03-13,,1608.0,no,"900 north point st k201, San Francisco, CA, 94109",89545,the pub,Aquatic Park / Ft. Mason,84.5,2018.0,37.8058745,-122.4229535,Census Tract 102,6075010200,,2848.0,175115.0,80739.0,1984.0,67479.0,2630.0,24.4,1630.0,306.0,662.0,12.0,0.0,41.0,149.0,132.0,121.0,40.0,86.0,481.0,924.0,333.0,298.0,60.0,27.0,2069.0,115.0,508.0,89096.0,121631.0,120658.0,0.0,72.8,5.5,1.9,2630.0,60.5,11.4,24.6,0.4,3.0,0.0,1.5,5.5,4.9,4.5,1.5,3.2,17.9,34.3,12.4,11.1,2.2,1.0,76.9,4.3,18.9,1.2,4.2,6.6,9.1,6.9,14.3,13.9,11.1,16.2,16.4,4143.0,38.9,1989.0,39.6,2154.0,38.2,705.0,2969.0,2544.0,425.0,2544.0,714.0,1830.0,48.0,52.0,27.7,85.7,14.3,100.0,28.1,71.9,2014,,3,
peoples bistro,"Restaurant 1,000 - 2,000 Sqft",1419 haight st,2017-06-01,,432.0,no,"1419 haight st, San Francisco, CA, 94117",94710,peoples bistro,Haight Ashbury,73.5,2018.0,37.7700007,-122.4457826,Census Tract 166,6075016600,http://www.sfgate.com/neighborhoods/sf/haight/,3909.0,160630.0,50954.0,1884.0,47558.0,3642.0,29.1,2353.0,466.0,718.0,138.0,0.0,134.0,126.0,10.0,453.0,67.0,350.0,299.0,815.0,640.0,504.0,163.0,139.0,3032.0,467.0,201.0,76597.0,99646.0,103375.0,18.0,81.4,5.3,6.4,3642.0,63.6,12.6,19.4,3.7,0.7,0.0,3.6,3.4,0.3,12.2,1.8,9.5,8.1,22.0,17.3,13.6,4.4,3.8,81.9,12.6,5.4,5.9,2.4,4.3,6.6,10.0,19.9,13.0,19.1,8.6,10.1,5069.0,33.0,2680.0,34.6,2389.0,31.6,660.0,2668.0,2480.0,188.0,2480.0,492.0,1988.0,52.9,47.1,26.6,93.0,7.0,100.0,19.8,80.2,2017,,6,
the meatball bar,"Restaurant 1,000 - 2,000 Sqft",602 hayes st,2018-01-01,,218.0,no,"602 hayes st, San Francisco, CA, 94104",94729,the meatball bar,Hayes Valley,95.5,2018.0,37.7767801,-122.4265958,Census Tract 163,6075016300,http://www.sfgate.com/neighborhoods/sf/hayesvalley/,3105.0,111745.0,41478.0,1342.0,36732.0,2583.0,29.4,1502.0,429.0,531.0,35.0,0.0,35.0,118.0,20.0,143.0,219.0,211.0,118.0,493.0,817.0,396.0,96.0,47.0,1946.0,565.0,202.0,71250.0,88404.0,92489.0,90.0,73.9,12.6,7.4,2583.0,55.4,15.8,19.6,1.3,8.0,0.0,1.3,4.3,0.7,5.3,8.1,7.8,4.3,18.2,30.1,14.6,3.5,1.7,71.7,20.8,7.4,7.8,5.8,10.4,5.6,8.9,13.5,15.8,18.4,4.7,9.2,4293.0,33.5,2285.0,34.7,2008.0,32.5,548.0,2185.0,2047.0,138.0,2047.0,354.0,1693.0,53.2,46.8,26.8,93.7,6.3,100.0,17.3,82.7,2018,,1,
my canh restaurant,,626 broadway st,2018-01-01,,218.0,no,"626 broadway st, San Francisco, CA, 94133",442,my canh restaurant,North Beach,86.5,2018.0,37.797828,-122.407474,Census Tract 107,6075010700,http://www.sfgate.com/neighborhoods/sf/northbeach/,2733.0,45444.0,21204.0,1497.0,21500.0,2276.0,27.5,688.0,762.0,467.0,94.0,0.0,109.0,247.0,13.0,260.0,22.0,86.0,165.0,294.0,436.0,357.0,163.0,195.0,1868.0,337.0,142.0,22828.0,41028.0,58945.0,207.0,52.7,13.6,21.4,2276.0,29.3,32.5,19.9,4.0,14.3,0.0,4.6,10.5,0.6,11.1,0.9,3.7,7.0,12.5,18.6,15.2,6.9,8.3,79.6,14.4,6.1,20.6,19.9,13.8,11.8,8.2,8.1,6.4,5.2,3.1,2.8,5592.0,51.6,2636.0,49.4,2956.0,53.6,1298.0,3025.0,2778.0,247.0,2778.0,154.0,2624.0,47.1,52.9,46.7,91.8,8.2,100.0,5.5,94.5,2018,,1,
cc san francisco centre emporium,"Restaurant Less Than 1,000 Sqft",845 market st,2014-08-23,,1445.0,no,"845 market st, San Francisco, CA, 94103",94813,cc san francisco centre emporium,South of Market,90.0,2018.0,37.784219,-122.406176,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188.0,49387.0,25330.0,2221.0,25938.0,2657.0,25.0,951.0,626.0,894.0,215.0,0.0,139.0,177.0,44.0,319.0,70.0,197.0,247.0,364.0,617.0,641.0,74.0,95.0,2522.0,334.0,128.0,23099.0,46745.0,61388.0,259.0,60.9,5.9,12.7,2657.0,31.9,21.0,30.0,7.2,10.0,0.0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18.0,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630.0,41.5,4723.0,42.8,2907.0,39.0,1029.0,5296.0,4321.0,975.0,4321.0,407.0,3914.0,61.9,38.1,23.8,81.6,18.4,100.0,9.4,90.6,2014,,8,
broadway coffee bros llc,"Restaurant Less Than 1,000 Sqft",900 north point,2018-05-03,,96.0,no,"900 north point, San Francisco, CA, 94109",96537,broadway coffee bros llc,Aquatic Park / Ft. Mason,96.0,2018.0,37.8058745,-122.4229535,Census Tract 102,6075010200,,2848.0,175115.0,80739.0,1984.0,67479.0,2630.0,24.4,1630.0,306.0,662.0,12.0,0.0,41.0,149.0,132.0,121.0,40.0,86.0,481.0,924.0,333.0,298.0,60.0,27.0,2069.0,115.0,508.0,89096.0,121631.0,120658.0,0.0,72.8,5.5,1.9,2630.0,60.5,11.4,24.6,0.4,3.0,0.0,1.5,5.5,4.9,4.5,1.5,3.2,17.9,34.3,12.4,11.1,2.2,1.0,76.9,4.3,18.9,1.2,4.2,6.6,9.1,6.9,14.3,13.9,11.1,16.2,16.4,4143.0,38.9,1989.0,39.6,2154.0,38.2,705.0,2969.0,2544.0,425.0,2544.0,714.0,1830.0,48.0,52.0,27.7,85.7,14.3,100.0,28.1,71.9,2018,,5,
lapisara eatery,,698 post st,2018-01-23,2018-01-23,0.0,yes,"698 post st, San Francicso, CA, 94109",94578,lapisara eatery,Lower Nob Hill,100.0,2018.0,37.7878433,-122.4131803,Census Tract 121,6075012100,"http://en.wikipedia.org/wiki/Nob_Hill,_San_Francisco",2020.0,44528.0,29366.0,1672.0,31191.0,1771.0,28.1,1019.0,321.0,423.0,40.0,0.0,31.0,21.0,21.0,203.0,61.0,83.0,120.0,526.0,314.0,307.0,91.0,25.0,1536.0,84.0,183.0,28966.0,42523.0,51950.0,18.0,68.7,10.7,5.1,1771.0,56.5,17.8,23.5,2.2,0.0,0.0,1.7,1.2,1.2,11.3,3.4,4.6,6.7,29.2,17.4,17.0,5.0,1.4,85.2,4.7,10.1,19.7,4.0,20.2,10.5,11.5,17.4,9.4,4.1,1.9,1.3,3833.0,28.6,1879.0,31.2,1954.0,27.0,311.0,2406.0,2194.0,212.0,2194.0,99.0,2095.0,49.0,51.0,14.2,91.2,8.8,100.0,4.5,95.5,2018,2018.0,1,1.0
the cheese steak shop,"Restaurant 1,000 - 2,000 Sqft",1716 divisadero st,2018-01-23,,196.0,no,"1716 divisadero st, San Francisco, CA, 94115",94703,the cheese steak shop,Lower Pacific Heights,89.0,2018.0,37.7855481,-122.4397984,Census Tract 153,6075015300,"http://en.wikipedia.org/wiki/Lower_Pacific_Heights,_San_Francisco,_California",1561.0,281137.0,74232.0,615.0,48793.0,1409.0,31.9,850.0,146.0,326.0,75.0,0.0,85.0,57.0,91.0,180.0,37.0,39.0,120.0,390.0,186.0,104.0,123.0,25.0,1164.0,190.0,83.0,86094.0,156649.0,122515.0,0.0,78.4,7.9,0.0,1409.0,59.2,10.2,22.7,5.2,2.8,0.0,5.9,4.0,6.3,12.5,2.6,2.7,8.4,27.1,12.9,7.2,8.6,1.7,81.0,13.2,5.8,2.3,4.2,12.8,6.5,5.5,14.1,15.4,13.6,9.5,16.1,2040.0,35.6,966.0,36.6,1074.0,35.1,312.0,1051.0,957.0,94.0,957.0,330.0,627.0,47.4,52.6,32.6,91.1,8.9,100.0,34.5,65.5,2018,,1,
bernal heights pizzeria,"Restaurant 1,000 - 2,000 Sqft",59 30th st,2015-01-01,,1314.0,no,"59 30th st, San Francisco, CA, 9411",87802,bernal heights pizzeria,Bernal Heights,96.0,2018.0,37.7421991,-122.4231362,Census Tract 253,6075025300,http://www.sfgate.com/neighborhoods/sf/bernalheights/,3407.0,122970.0,43601.0,976.0,44780.0,3017.0,26.7,1444.0,638.0,579.0,189.0,18.0,181.0,110.0,95.0,167.0,161.0,183.0,19.0,783.0,426.0,408.0,324.0,233.0,2209.0,525.0,364.0,88711.0,111119.0,118585.0,28.0,80.4,8.8,0.8,3017.0,46.5,20.5,18.6,6.1,8.3,0.6,5.8,3.5,3.1,5.4,5.2,5.9,0.6,25.2,13.7,13.1,10.4,7.5,71.1,16.9,11.7,2.7,5.7,4.5,7.6,4.9,16.2,14.5,19.3,10.0,14.6,4362.0,37.3,2296.0,37.1,2066.0,37.4,783.0,1881.0,1767.0,114.0,1767.0,752.0,1015.0,52.6,47.4,44.3,93.9,6.1,100.0,42.6,57.4,2015,,1,
easy breezy frozen yogurt,"Restaurant 1,000 - 2,000 Sqft",44 west portal ave,2012-04-20,,2300.0,no,"44 west portal ave, San Francisco, CA, 94127",94555,easy breezy frozen yogurt,West Portal,97.0,2018.0,37.7404634,-122.4665495,Census Tract 308,6075030800,"http://en.wikipedia.org/wiki/West_Portal,_San_Francisco,_California",3029.0,186139.0,61924.0,576.0,46078.0,2742.0,28.0,1529.0,395.0,698.0,43.0,0.0,54.0,121.0,68.0,294.0,87.0,64.0,480.0,453.0,557.0,416.0,129.0,114.0,2131.0,340.0,319.0,122139.0,162196.0,142927.0,0.0,66.3,6.3,2.8,2742.0,53.9,13.9,24.6,1.5,6.1,0.0,1.9,4.3,2.4,10.4,3.1,2.3,16.9,16.0,19.6,14.7,4.5,4.0,75.1,12.0,11.2,2.2,1.6,4.0,6.9,6.8,9.6,8.1,21.8,13.2,25.9,5667.0,46.4,2723.0,44.8,2944.0,47.9,1451.0,2315.0,2145.0,170.0,2145.0,1666.0,479.0,48.1,51.9,67.6,92.7,7.3,100.0,77.7,22.3,2012,,4,
san marcos restaurante,"Restaurant 1,000 - 2,000 Sqft",98 leland ave,2018-01-25,,194.0,no,"98 leland ave, San Francisco, CA, 94134",95400,san marcos restaurante,Visitacion Valley,90.0,2018.0,37.712002,-122.405456,Census Tract 264.03,6075026403,"http://en.wikipedia.org/wiki/Visitacion_Valley,_San_Francisco,_California",2129.0,70279.0,16248.0,319.0,21201.0,1850.0,32.2,224.0,653.0,393.0,147.0,0.0,119.0,322.0,42.0,293.0,78.0,64.0,76.0,43.0,239.0,448.0,96.0,39.0,1520.0,157.0,182.0,48125.0,58354.0,66611.0,127.0,60.0,12.7,18.6,1850.0,12.0,35.1,21.1,7.9,23.8,0.0,6.4,17.3,2.3,15.8,4.2,3.4,4.1,2.3,12.9,24.1,5.2,2.1,81.8,8.4,9.8,7.6,15.6,13.6,4.1,10.1,17.7,14.4,9.4,5.7,1.8,4140.0,41.5,2048.0,39.9,2092.0,43.1,832.0,1120.0,1062.0,58.0,1062.0,638.0,424.0,49.5,50.5,78.3,94.8,5.2,100.0,60.1,39.9,2018,,1,
poke fusion,"Restaurant Less Than 1,000 Sqft",112 waverly pl,2015-04-21,,1204.0,no,"112 waverly pl, San Francisco, CA, 94108",84795,poke fusion,Chinatown,100.0,2017.0,37.794477,-122.406743,Census Tract 611,6075061100,http://www.sfgate.com/neighborhoods/sf/chinatown/,1988.0,31141.0,13235.0,1095.0,11069.0,1658.0,23.7,231.0,788.0,345.0,115.0,0.0,82.0,153.0,28.0,266.0,32.0,39.0,22.0,105.0,204.0,336.0,337.0,54.0,1423.0,187.0,48.0,14270.0,25319.0,31210.0,141.0,50.6,16.6,40.3,1658.0,13.9,47.5,20.8,6.9,10.8,0.0,4.9,9.2,1.7,16.0,1.9,2.4,1.3,6.3,12.3,20.3,20.3,3.3,85.8,11.3,2.9,21.9,31.1,21.4,7.9,7.4,6.2,0.9,0.4,2.1,0.8,4307.0,55.2,2077.0,54.0,2230.0,55.8,1126.0,2351.0,2135.0,216.0,2135.0,78.0,2057.0,48.2,51.8,52.7,90.8,9.2,100.0,3.7,96.3,2015,,4,
bake cheese tart,Take-Out Establishment,845 market st ste 16,2017-07-01,,402.0,no,"845 market st ste 16, San Francisco, CA, 94103",95455,bake cheese tart,South of Market,96.0,2018.0,37.784219,-122.406176,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188.0,49387.0,25330.0,2221.0,25938.0,2657.0,25.0,951.0,626.0,894.0,215.0,0.0,139.0,177.0,44.0,319.0,70.0,197.0,247.0,364.0,617.0,641.0,74.0,95.0,2522.0,334.0,128.0,23099.0,46745.0,61388.0,259.0,60.9,5.9,12.7,2657.0,31.9,21.0,30.0,7.2,10.0,0.0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18.0,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630.0,41.5,4723.0,42.8,2907.0,39.0,1029.0,5296.0,4321.0,975.0,4321.0,407.0,3914.0,61.9,38.1,23.8,81.6,18.4,100.0,9.4,90.6,2017,,7,
happy donuts,,3801 24th st,2018-01-12,,207.0,no,"3801 24th st, San Francisco, CA, 94114",77520,happy donuts,Noe Valley,92.5,2018.0,37.7516116,-122.4276022,Census Tract 214,6075021400,http://www.sfgate.com/neighborhoods/sf/noevalley/,2569.0,165833.0,66220.0,1147.0,55239.0,2359.0,32.1,1823.0,173.0,379.0,41.0,0.0,33.0,114.0,13.0,122.0,11.0,171.0,206.0,774.0,508.0,307.0,72.0,96.0,1785.0,362.0,280.0,101222.0,127390.0,128121.0,13.0,84.2,5.5,2.9,2359.0,75.1,7.1,15.6,1.7,0.5,0.0,1.4,4.7,0.5,5.0,0.5,7.0,8.5,31.9,20.9,12.6,3.0,4.0,73.5,14.9,11.5,2.3,2.9,3.0,5.4,9.2,14.1,11.7,15.9,17.1,18.2,3264.0,38.0,1617.0,39.2,1647.0,37.0,655.0,1770.0,1619.0,151.0,1619.0,676.0,943.0,49.5,50.5,40.5,91.5,8.5,100.0,41.8,58.2,2018,,1,
casa de la condesa,,2763 mission st,2018-01-31,,188.0,no,"2763 mission st, San Francisco, CA, 9411",94848,casa de la condesa restaurant,Mission,89.0,2018.0,37.7529366,-122.4183344,Census Tract 209,6075020900,http://www.sfgate.com/neighborhoods/sf/mission/,3065.0,60096.0,29653.0,1122.0,31014.0,2981.0,26.8,1104.0,664.0,784.0,161.0,0.0,139.0,106.0,57.0,364.0,44.0,110.0,176.0,486.0,575.0,527.0,358.0,39.0,2287.0,405.0,289.0,47407.0,71194.0,65333.0,83.0,72.9,2.7,6.3,2981.0,37.0,22.3,26.3,5.4,9.0,0.0,4.7,3.6,1.9,12.2,1.5,3.7,5.9,16.3,19.3,17.7,12.0,1.3,76.7,13.6,9.7,3.7,6.6,14.6,10.8,15.4,20.8,7.6,13.1,4.5,2.9,4372.0,34.9,2232.0,35.3,2140.0,34.5,651.0,1899.0,1742.0,157.0,1742.0,226.0,1516.0,51.1,48.9,37.4,91.7,8.3,100.0,13.0,87.0,2018,,1,
memphis minnies bbq joint,,576 haight st,2018-05-01,,98.0,no,"576 haight st, San Francisco, CA, 94117",2387,memphis minnies bbq joint,Lower Haight,88.0,2018.0,37.771978,-122.431654,Census Tract 168.01,6075016801,"http://en.wikipedia.org/wiki/Lower_Haight,_San_Francisco,_California",2368.0,133534.0,57841.0,1328.0,48406.0,2229.0,27.5,1522.0,291.0,377.0,70.0,0.0,211.0,161.0,57.0,204.0,0.0,144.0,174.0,533.0,472.0,182.0,126.0,43.0,1969.0,209.0,129.0,72724.0,106307.0,102840.0,19.0,81.2,2.6,3.3,2229.0,66.0,12.6,16.3,3.0,2.0,0.0,9.1,7.0,2.5,8.8,0.0,6.2,7.5,23.1,20.5,7.9,5.5,1.9,85.3,9.1,5.6,2.9,2.6,7.9,12.2,13.8,12.8,13.3,10.7,9.1,14.7,3218.0,35.0,1865.0,36.8,1353.0,32.8,369.0,1734.0,1634.0,100.0,1634.0,329.0,1305.0,58.0,42.0,22.6,94.2,5.8,100.0,20.1,79.9,2018,,5,
toyama japanese restaurant,"Restaurant 1,000 - 2,000 Sqft",3727 geary blvd,2018-02-05,,183.0,no,"3727 geary blvd, San Francisco, CA, 94118",94959,toyama japanese restaurant,Inner Richmond,80.0,2018.0,37.7809432,-122.4594401,Census Tract 451,6075045100,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,2879.0,123882.0,51025.0,1150.0,45673.0,2589.0,31.1,1448.0,271.0,839.0,74.0,0.0,38.0,197.0,98.0,251.0,44.0,101.0,366.0,532.0,679.0,249.0,46.0,91.0,2359.0,232.0,101.0,73750.0,110322.0,120886.0,12.0,69.8,6.5,2.0,2589.0,53.8,10.1,31.2,2.7,2.2,0.0,1.4,7.3,3.6,9.3,1.6,3.8,13.6,19.8,25.2,9.2,1.7,3.4,87.6,8.6,3.8,4.0,4.3,7.7,6.6,15.0,12.4,16.3,16.1,3.8,13.7,4996.0,36.0,2420.0,35.0,2576.0,37.2,963.0,2290.0,2150.0,140.0,2150.0,616.0,1534.0,48.4,51.6,44.8,93.9,6.1,100.0,28.7,71.3,2018,,2,
gourmet kitchen,Take-Out Establishment,1051 stockton st,2000-02-01,,6762.0,no,"1051 stockton st, San Francisco, CA, 94108",4608,gourmet kitchen,Chinatown,93.0,2017.0,37.795594,-122.408204,Census Tract 611,6075061100,http://www.sfgate.com/neighborhoods/sf/chinatown/,1988.0,31141.0,13235.0,1095.0,11069.0,1658.0,23.7,231.0,788.0,345.0,115.0,0.0,82.0,153.0,28.0,266.0,32.0,39.0,22.0,105.0,204.0,336.0,337.0,54.0,1423.0,187.0,48.0,14270.0,25319.0,31210.0,141.0,50.6,16.6,40.3,1658.0,13.9,47.5,20.8,6.9,10.8,0.0,4.9,9.2,1.7,16.0,1.9,2.4,1.3,6.3,12.3,20.3,20.3,3.3,85.8,11.3,2.9,21.9,31.1,21.4,7.9,7.4,6.2,0.9,0.4,2.1,0.8,4307.0,55.2,2077.0,54.0,2230.0,55.8,1126.0,2351.0,2135.0,216.0,2135.0,78.0,2057.0,48.2,51.8,52.7,90.8,9.2,100.0,3.7,96.3,2000,,2,
